,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,
2012-06-21,17.535228729248047,108.22860717773438,20.631071090698242,132.44000244140625,21.007856369018555,135.77999877929688,20.62285614013672,132.3300018310547,20.908571243286133,135.63999938964844,326351200,205272200
2012-06-22,17.669696807861328,109.06211853027344,20.78928565979004,133.4600067138672,20.792499542236328,133.7100067138672,20.55071449279785,132.6199951171875,20.68000030517578,133.1300048828125,284471600,130029200
2012-06-25,17.32577896118164,107.31336212158203,20.3846435546875,131.32000732421875,20.707143783569336,132.10000610351562,20.370357513427734,130.85000610351562,20.617856979370117,132.0500030517578,304382400,146375700
2012-06-26,17.364025115966797,107.85265350341797,20.429643630981445,131.97999572753906,20.517499923706055,132.3800048828125,20.26178550720215,130.92999267578125,20.40464210510254,131.6999969482422,276536400,141634000
2012-06-27,17.43900489807129,108.82511901855469,20.51785659790039,133.1699981689453,20.597856521606445,133.42999267578125,20.42571449279785,131.97000122070312,20.53571319580078,132.4199981689453,202997200,108088000
2012-06-28,17.273571014404297,108.51461791992188,20.323213577270508,132.7899932861328,20.5,132.99000549316406,20.20035743713379,131.27999877929688,20.416786193847656,132.2899932861328,282836400,169242100
2012-06-29,17.727373123168945,111.21952819824219,20.85714340209961,136.10000610351562,20.85714340209961,136.27000427246094,20.508928298950195,134.85000610351562,20.64285659790039,135.1999969482422,421500800,212250900
2012-07-02,17.985994338989258,111.55453491210938,21.161428451538086,136.50999450683594,21.195356369018555,136.64999389648438,20.842857360839844,135.52000427246094,20.883214950561523,136.47999572753906,400092000,129524500
2012-07-03,18.19514274597168,112.2900390625,21.407499313354492,137.41000366210938,21.428571701049805,137.50999450683594,21.21428680419922,136.33999633789062,21.24571418762207,136.47999572753906,241712800,80450000
2012-07-05,18.514785766601562,111.7833480834961,21.783571243286133,136.7899932861328,21.94071388244629,137.8000030517578,21.41607093811035,136.2899932861328,21.448570251464844,136.89999389648438,484383200,126177500
2012-07-06,18.391542434692383,110.72100067138672,21.63857078552246,135.49000549316406,21.729999542236328,135.77000427246094,21.485000610351562,134.85000610351562,21.681785583496094,135.47000122070312,418930400,151192100
2012-07-09,18.63469123840332,110.58212280273438,21.92464256286621,135.32000732421875,21.924999237060547,135.57000732421875,21.57535743713379,134.6999969482422,21.617856979370117,135.3800048828125,379405600,103780500
2012-07-10,18.46227264404297,109.61782836914062,21.721786499023438,134.13999938964844,22.138214111328125,136.22999572753906,21.618213653564453,133.67999267578125,22.070356369018555,136.00999450683594,511957600,167884800
2012-07-11,18.347532272338867,109.63414001464844,21.5867862701416,134.16000366210938,21.7021427154541,134.60000610351562,21.329286575317383,133.3800048828125,21.64714241027832,134.2100067138672,469322000,141733400
2012-07-12,18.179668426513672,109.10297393798828,21.389286041259766,133.50999450683594,21.552499771118164,134.22999572753906,21.167142868041992,132.60000610351562,21.437143325805664,133.3800048828125,428041600,143583200
2012-07-13,18.363927841186523,110.93345642089844,21.60607147216797,135.75,21.68535614013672,135.88999938964844,21.428571701049805,133.83999633789062,21.5339298248291,133.86000061035156,311427200,129642600
2012-07-16,18.422813415527344,110.67200469970703,21.675357818603516,135.42999267578125,21.843570709228516,135.8300018310547,21.60785675048828,134.89999389648438,21.61142921447754,135.44000244140625,301260400,97525200
2012-07-17,18.423725128173828,111.4319839477539,21.676429748535156,136.36000061035156,21.83928680419922,136.63999938964844,21.54107093811035,134.5500030517578,21.813928604125977,135.97000122070312,293624800,138860300
2012-07-18,18.40308380126953,112.25733184814453,21.652143478393555,137.3699951171875,21.726428985595703,137.63999938964844,21.555713653564453,135.9600067138672,21.663928985595703,136.0399932861328,252700000,113349700
2012-07-19,18.647750854492188,112.551513671875,21.940000534057617,137.72999572753906,21.97678565979004,138.17999267578125,21.64285659790039,137.2100067138672,21.83142852783203,137.64999389648438,436861600,129847300
2012-07-20,18.343595504760742,111.52188110351562,21.582143783569336,136.47000122070312,21.944286346435547,137.16000366210938,21.560714721679688,136.32000732421875,21.89392852783203,136.9499969482422,397471200,142904500
2012-07-23,18.329317092895508,110.3941650390625,21.565357208251953,135.08999633789062,21.639286041259766,136.3800048828125,20.989643096923828,133.83999633789062,21.22857093811035,134.47000122070312,487975600,145210900
2012-07-24,18.24098777770996,109.44619750976562,21.461429595947266,133.92999267578125,21.7742862701416,135.25,21.375356674194336,133.02999877929688,21.692142486572266,135.19000244140625,565132400,173301200
2012-07-25,17.453269958496094,109.4707260131836,20.534643173217773,133.9600067138672,20.742856979370117,134.55999755859375,20.35714340209961,133.25,20.516429901123047,134.2100067138672,877312800,129122300
2012-07-26,17.450532913208008,111.2767105102539,20.531429290771484,136.1699981689453,20.72857093811035,136.4600067138672,20.3700008392334,135.25999450683594,20.705713272094727,135.88999938964844,406632800,156526500
2012-07-27,17.76258659362793,113.32786560058594,20.898571014404297,138.67999267578125,20.922500610351562,139.07000732421875,20.413928985595703,136.13999938964844,20.53607177734375,136.88999938964844,403936400,236768900
2012-07-30,18.062198638916016,113.32786560058594,21.25107192993164,138.67999267578125,21.408571243286133,139.33999633789062,20.99357032775879,138.27000427246094,21.104286193847656,138.52000427246094,379142400,106782000
2012-07-31,18.539676666259766,112.53518676757812,21.812856674194336,137.7100067138672,21.8464298248291,138.8699951171875,21.525714874267578,137.7100067138672,21.543928146362305,138.49000549316406,462327600,120575900
2012-08-01,18.419775009155273,112.43711853027344,21.671785354614258,137.58999633789062,22.014286041259766,138.72999572753906,21.53571319580078,137.39999389648438,21.99678611755371,138.6999969482422,384501600,138293800
2012-08-02,18.449527740478516,111.66079711914062,21.706785202026367,136.63999938964844,21.81035614013672,137.57000732421875,21.4375,135.5800018310547,21.530000686645508,136.5500030517578,332158400,199556600
2012-08-03,18.68963050842285,113.87537384033203,21.989286422729492,139.35000610351562,22.070714950561523,139.63999938964844,21.841428756713867,136.67999267578125,21.91535758972168,138.55999755859375,344920800,157825000
2012-08-06,18.897563934326172,114.09600067138672,22.233928680419922,139.6199951171875,22.31678581237793,140.1699981689453,21.97357177734375,139.55999755859375,22.046070098876953,139.72000122070312,302103200,86326200
2012-08-07,18.847782135009766,114.66805267333984,22.175357818603516,140.32000732421875,22.321428298950195,140.9199981689453,22.072856903076172,140.02999877929688,22.241785049438477,140.17999267578125,290446800,109545100
2012-08-08,18.815908432006836,114.80696105957031,22.13785743713379,140.49000549316406,22.281429290771484,140.64999389648438,22.03928565979004,139.80999755859375,22.121070861816406,139.85000610351562,244706000,89754700
2012-08-09,18.923219680786133,114.90504455566406,22.168928146362305,140.61000061035156,22.20464324951172,140.88999938964844,22.064285278320312,140.14999389648438,22.066070556640625,140.2899932861328,221642400,90291700
2012-08-10,18.95278549194336,115.09296417236328,22.203571319580078,140.83999633789062,22.205713272094727,140.88999938964844,22.0964298248291,139.80999755859375,22.096786499023438,140.0399932861328,194938800,99792700
2012-08-13,19.2058162689209,115.03580474853516,22.5,140.77000427246094,22.5,140.83999633789062,22.258928298950195,140.0399932861328,22.26392936706543,140.60000610351562,278832400,79426900
2012-08-14,19.257347106933594,115.0521240234375,22.56035614013672,140.7899932861328,22.8075008392334,141.3800048828125,22.50749969482422,140.3699951171875,22.56678581237793,141.2899932861328,340169200,102379400
2012-08-15,19.23111343383789,115.1828384399414,22.52964210510254,140.9499969482422,22.64285659790039,141.19000244140625,22.41964340209961,140.5500030517578,22.546428680419922,140.63999938964844,257342400,71085900
2012-08-16,19.39910125732422,116.03274536132812,22.726428985595703,141.99000549316406,22.74142837524414,142.16000366210938,22.51785659790039,140.8000030517578,22.543214797973633,141.14999389648438,254534000,112014200
2012-08-17,19.757909774780273,116.1880111694336,23.146785736083984,142.17999267578125,23.149642944335938,142.3000030517578,22.81464385986328,141.86000061035156,22.85714340209961,142.22999572753906,442761200,90813700
2012-08-20,20.277385711669922,116.1961669921875,23.75535774230957,142.19000244140625,23.75535774230957,142.22000122070312,23.21071434020996,141.58999633789062,23.214643478393555,141.97999572753906,613384800,78255700
2012-08-21,20.00026512145996,115.84473419189453,23.430713653564453,141.75999450683594,24.10285758972168,143.08999633789062,23.226070404052734,141.4499969482422,23.957857131958008,142.5399932861328,812719600,105581100
2012-08-22,20.390790939331055,115.89381408691406,23.888214111328125,141.82000732421875,23.89285659790039,142.0500030517578,23.146785736083984,141.07000732421875,23.372142791748047,141.39999389648438,565322800,133243500
2012-08-23,20.2005615234375,114.94587707519531,23.66535758972168,140.66000366210938,23.924999237060547,141.47999572753906,23.612499237060547,140.44000244140625,23.789642333984375,141.47000122070312,420128800,111466400
2012-08-24,20.218536376953125,115.64046478271484,23.68642807006836,141.50999450683594,23.90999984741211,141.8300018310547,23.412500381469727,140.22000122070312,23.55392837524414,140.30999755859375,437340400,99481200
2012-08-27,20.598400115966797,115.66500091552734,24.13142967224121,141.5399932861328,24.31678581237793,142.0800018310547,24.05500030517578,141.33999633789062,24.285356521606445,141.88999938964844,427008400,68785900
2012-08-28,20.57156753540039,115.55058288574219,24.100000381469727,141.39999389648438,24.14642906188965,141.83999633789062,23.952499389648438,140.97000122070312,24.106428146362305,141.17999267578125,267416800,75689600
2012-08-29,20.53101921081543,115.64046478271484,24.052499771118164,141.50999450683594,24.202499389648438,141.88999938964844,24.02142906188965,141.1199951171875,24.116071701049805,141.52000427246094,202806800,65421300
2012-08-30,20.238357543945312,114.80696105957031,23.70964241027832,140.49000549316406,23.983928680419922,140.94000244140625,23.673213958740234,140.19000244140625,23.95142936706543,140.89999389648438,302699600,96589900
2012-08-31,20.280126571655273,115.3544692993164,23.75857162475586,141.16000366210938,23.878570556640625,141.82000732421875,23.47321319580078,140.36000061035156,23.83035659790039,141.2899932861328,338321200,151970400
2012-09-04,20.576744079589844,115.24826049804688,24.10607147216797,141.02999877929688,24.11214256286621,141.4600067138672,23.73214340209961,140.1300048828125,23.777143478393555,141.0399932861328,367892000,120226200
2012-09-05,20.432252883911133,115.15016174316406,23.936786651611328,140.91000366210938,24.155357360839844,141.47000122070312,23.91428565979004,140.6300048828125,24.127500534057617,141.08999633789062,336375200,100660300
2012-09-06,20.616376876831055,117.48731994628906,24.15250015258789,143.77000427246094,24.22464370727539,143.77999877929688,23.957143783569336,141.75,24.041786193847656,141.75999450683594,391196400,158272500
